tipo,cidade,bairro,area_m2,quartos,banheiros,suites,andar,vagas,preco,preco_m2,portaria,vista_mar,condominio_fechado,piscina,deck,varanda_gourmet,varanda,academia,salao_festa,salao_jogos,quadra_campo,estado,tipo_imovel_padronizado,tem_geolocalizacao,tem_endereco_estruturado,andar_informado
apartamento,Fortaleza,Parque Iracema,51.0,2.0,1.0,1.0,0.0,1.0,346458.0,6793.294117647059,False,False,False,False,False,False,False,True,False,False,False,CE,apartamento_padrao,True,True,True
casa,Fortaleza,Cambeba,162.0,4.0,3.0,2.0,0.0,4.0,690000.0,4259.259259259259,False,False,False,False,False,True,True,False,False,False,False,CE,casa_padrao,True,True,True
apartamento,Fortaleza,Engenheiro Luciano Cavalcante,142.0,3.0,4.0,3.0,0.0,3.0,1650000.0,11619.718309859154,False,False,False,False,False,True,True,False,False,False,False,CE,apartamento_padrao,True,True,True
apartamento,Fortaleza,Fátima,148.0,3.0,2.0,1.0,3.0,2.0,308000.0,2081.0810810810813,True,False,True,False,False,False,True,False,False,False,False,CE,apartamento_padrao,True,True,True
apartamento,Fortaleza,Aldeota,139.0,3.0,3.0,3.0,0.0,2.0,1999000.0,14381.294964028777,False,False,False,True,False,False,False,True,True,False,False,CE,apartamento_padrao,True,True,True
apartamento,Fortaleza,Meireles,101.0,3.0,3.0,3.0,0.0,2.0,1769463.0,17519.435643564357,False,False,False,True,False,True,True,True,True,False,False,CE,apartamento_padrao,True,True,True
apartamento,Fortaleza,Praia do Futuro I,50.0,2.0,2.0,2.0,16.0,1.0,368000.0,7360.0,True,True,True,True,False,False,False,True,True,True,True,CE,apartamento_padrao,True,True,True
casa,Fortaleza,Joaquim Távora,350.0,5.0,4.0,2.0,0.0,4.0,1300000.0,3714.285714285714,False,False,False,False,False,False,False,False,False,False,False,CE,casa_padrao,True,True,True
casa,Fortaleza,Jardim das Oliveiras,152.0,4.0,4.0,4.0,0.0,1.0,649000.0,4269.736842105263,False,False,False,False,False,False,True,False,False,False,False,CE,casa_padrao,True,True,True
apartamento,Fortaleza,Praia do Futuro II,60.0,2.0,1.0,1.0,3.0,1.0,375000.0,6250.0,False,False,False,True,False,True,True,False,True,False,False,CE,apartamento_padrao,True,True,True
apartamento,Fortaleza,Passaré,48.0,2.0,2.0,1.0,0.0,1.0,380900.0,7935.416666666667,False,False,True,True,False,False,False,True,True,True,True,CE,apartamento_padrao,True,True,True
apartamento,Fortaleza,Engenheiro Luciano Cavalcante,71.0,3.0,2.0,2.0,22.0,2.0,698250.0,9834.507042253521,True,True,True,True,True,False,True,True,True,False,True,CE,apartamento_padrao,True,True,True
apartamento,Fortaleza,Praia do Futuro II,48.0,2.0,2.0,1.0,0.0,1.0,410000.0,8541.666666666666,False,False,False,True,False,False,True,False,False,False,True,CE,apartamento_padrao,True,True,True
apartamento,Fortaleza,De Lourdes,75.0,3.0,2.0,1.0,0.0,2.0,700000.0,9333.333333333334,False,False,False,True,True,False,True,False,True,True,True,CE,apartamento_padrao,True,True,True
apartamento,Fortaleza,Mondubim,50.0,2.0,2.0,1.0,0.0,1.0,330000.0,6600.0,True,False,True,True,True,False,True,False,True,False,False,CE,apartamento_padrao,True,True,True
apartamento,Fortaleza,Aldeota,158.0,3.0,3.0,2.0,0.0,2.0,1220000.0,7721.518987341772,False,False,True,False,False,False,True,False,True,False,False,CE,apartamento_padrao,True,True,True
casa,Fortaleza,Lagoa Redonda,330.0,4.0,4.0,4.0,0.0,3.0,2995000.0,9075.757575757576,False,True,False,True,True,False,True,False,False,False,False,CE,casa_padrao,True,True,True
apartamento,Fortaleza,Messejana,49.0,2.0,2.0,1.0,0.0,2.0,471109.0,9614.469387755102,False,False,False,True,True,True,True,True,True,False,False,CE,apartamento_padrao,True,True,True
apartamento,Fortaleza,Engenheiro Luciano Cavalcante,73.0,2.0,2.0,1.0,0.0,2.0,710000.0,9726.027397260274,False,False,False,True,True,True,True,True,True,True,True,CE,apartamento_padrao,True,True,True
apartamento,Fortaleza,Jacarecanga,65.0,3.0,2.0,1.0,10.0,2.0,420000.0,6461.538461538462,False,True,True,True,False,False,False,True,True,True,False,CE,apartamento_padrao,True,True,True
