tipo_imovel,metragem,quartos,banheiros,suites,preco_anuncio,latitude,longitude,portaria_24h_normalizado,vista_mar_normalizado,condominio_fechado_normalizado,piscina_normalizado,deck_normalizado,varanda_normalizado,varanda_gourmet_normalizado,academia_normalizado,salao_festas_normalizado,salao_jogos_normalizado,quadra_normalizado,playground_normalizado,brinquedoteca_normalizado,coworking_normalizado,pet_place_normalizado,elevador_normalizado,nascente_normalizado,andar_alto_normalizado,mobiliado_normalizado,reformado_normalizado,frente_mar_normalizado,vista_livre_normalizado,tipo_anuncio_normalizado,anuncio_criado,nota_media
Apartamento,80.12,3.0,3.0,3.0,915.000,-3.809183,-38.493246,True,False,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,normal,2022-11-12,0.0
Apartamento,37.0,3.0,1.0,0.0,343.425,-3.739705,-38.475194,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,lançamento,,0.0
Apartamento,69.07,2.0,2.0,2.0,940.000,-3.733994,-38.509009,True,False,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,normal,2024-03-18,0.0
Casa,160.0,4.0,1.0,1.0,150.000,-3.787469,-38.630248,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,normal,2026-06-11,0.0
Casa,150.0,3.0,3.0,2.0,419.000,-3.84919,-38.476122,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,normal,2026-06-09,0.0
Apartamento,50.0,2.0,2.0,1.0,320.000,-3.732309,-38.59695,True,False,False,True,True,False,False,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,normal,2026-01-08,0.0
Apartamento,107.0,3.0,3.0,2.0,550.000,-3.738577,-38.479961,False,False,False,False,False,True,True,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,normal,2026-06-10,0.0
Apartamento,162.46,3.0,3.0,1.0,350.000,-3.728163,-38.513034,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,normal,2026-06-11,0.0
Apartamento,47.0,2.0,2.0,1.0,460.000,-3.755,-38.447,False,True,False,True,True,True,False,True,True,False,True,True,False,True,True,False,False,False,True,False,False,False,normal,2026-01-17,0.0
Apartamento,77.0,3.0,2.0,1.0,800.000,-3.746452,-38.469101,False,False,False,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,True,False,False,False,repasse,2026-05-04,0.0
Apartamento,38.0,2.0,1.0,0.0,106.667,-3.810548,-38.588636,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,leilão,2026-05-29,0.0
Apartamento,38.0,2.0,1.0,0.0,200.000,-3.844319,-38.507533,False,False,False,True,True,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,lançamento,,0.0
Apartamento,38.0,2.0,1.0,0.0,94.222,-3.810548,-38.588636,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,leilão,2026-05-29,0.0
Casa,48.0,2.0,1.0,1.0,30.000,-3.873815,-38.507397,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,repasse,2025-10-04,0.0
Casa,123.0,3.0,3.0,3.0,619.000,-3.770854,-38.474641,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,lançamento,2026-04-02,0.0
Apartamento,50.0,2.0,2.0,1.0,328.000,-3.748768,-38.54451,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,lançamento,,0.0
Apartamento,85.0,3.0,3.0,3.0,700.000,-3.7333,-38.517241,True,False,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,normal,2026-05-31,0.0
Apartamento,21.4,1.0,1.0,1.0,556.131,-3.723617,-38.510262,False,False,False,True,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,lançamento,,0.0
Apartamento,41.0,2.0,1.0,0.0,195.000,-3.844965,-38.492101,True,False,True,True,True,False,False,True,True,False,False,True,True,False,False,False,True,False,False,True,False,False,normal,2026-06-09,0.0
Apartamento,48.0,2.0,1.0,,180.000,-3.803244,-38.535149,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,normal,2026-06-11,0.0
Casa de condomínio,80.0,2.0,2.0,1.0,340.000,-3.8,-38.586,True,False,False,True,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,normal,2026-06-10,0.0
Imóvel comercial,200.0,3.0,3.0,2.0,590.000,-3.793875,-38.475764,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,normal,2026-06-03,0.0
Apartamento,44.0,2.0,1.0,,32.000,-3.798749,-38.598797,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,repasse,2026-06-11,0.0
Apartamento,37.0,1.0,1.0,2.0,541.609,-3.730315,-38.51086,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,lançamento,,0.0
Apartamento,52.43,2.0,1.0,0.0,198.000,-3.846297,-38.506719,False,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,normal,2025-06-24,0.0
Apartamento,44.0,2.0,1.0,,35.000,-3.808144,-38.511561,True,False,True,False,True,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,True,repasse,2026-06-11,0.0
