external_id,site,finalidade,tipo,titulo,preco,preco_m2,area_m2,quartos,banheiros,vagas,suites,andar,numero_endereco,bairro,cidade,estado,condominio,iptu,endereco,descricao,portaria,vista_mar,condominio_fechado,piscina,deck,varanda_gourmet,varanda,academia,salao_festa,salao_jogos,quadra_campo,latitude,longitude,is_lancamento,data_coleta,url
olx_olx_dom_115232701431409,OLX,venda,apartamento,Apartamento na Aldeota Cod0283,390000.0,6842.11,57,,,,,,,Aldeota,Fortaleza,CE,,,,,False,False,False,False,False,False,False,False,False,False,False,,,False,2026-06-21T03:38:08+00:00,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/apartamento-na-aldeota-cod0283-1392938630
olx_olx_dom_46512398559988,OLX,venda,apartamento,"Apartamento Espaçoso na Aldeota, Fortaleza - Confira! / Edificio Diamante.",395000.0,2743.06,144,,,,,,,Aldeota,Fortaleza,CE,,,,,False,False,False,False,False,False,False,False,False,False,False,,,False,2026-06-21T03:35:05+00:00,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/apartamento-espacoso-na-aldeota-fortaleza-confira-edificio-diamante-1501609219
olx_olx_dom_156859669127780,OLX,venda,apartamento,Apartamento 3 dormitórios à venda Aldeota Fortaleza/CE,400000.0,5128.21,78,,,,,,,Aldeota,Fortaleza,CE,,,,,False,False,False,False,False,False,False,False,False,False,False,,,False,2026-06-21T03:39:09+00:00,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/apartamento-3-dormitorios-a-venda-aldeota-fortaleza-ce-1486970429
olx_olx_dom_58955858199877,OLX,venda,apartamento,Studios Co.Work & Live Maria Tomásia Aldeota,417000.0,14892.86,28,,,,,,,Aldeota,Fortaleza,CE,,,,,False,False,False,False,False,False,False,False,False,False,False,,,False,2026-06-21T03:35:12+00:00,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/studios-co-work-live-maria-tomasia-aldeota-1512090758
olx_olx_dom_217783476375171,OLX,venda,apartamento,J.STUDIOS SKYLINE - ALDEOTA,425250.0,17010.0,25,,,,,,,Aldeota,Fortaleza,CE,,,,,False,False,False,False,False,False,False,False,False,False,False,,,False,2026-06-21T03:39:03+00:00,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/j-studios-skyline-aldeota-1511028753
olx_olx_dom_23364643262541,OLX,venda,apartamento,"APT 183, Condomínio Bella aldeota, Apartamentos com 02 e 03 quartos, elevador, lazer",426958.0,7762.87,55,3,,,,,,Aldeota,Fortaleza,CE,,,,,False,False,False,False,False,False,False,False,False,False,False,,,False,2026-06-21T03:39:44+00:00,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/apt-183-condominio-bella-aldeota-apartamentos-com-02-e-03-quartos-elevador-lazer-1428347350
olx_olx_dom_65781519309262,OLX,venda,apartamento,"Apartamento à venda na Aldeota, Fortaleza",430000.0,3307.69,130,,,,,,,Aldeota,Fortaleza,CE,,,,,False,False,False,False,False,False,False,False,False,False,False,,,False,2026-06-21T03:37:46+00:00,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/apartamento-a-venda-na-aldeota-fortaleza-1479367009
olx_olx_dom_224898045177024,OLX,venda,apartamento,"Apartamento com 1 dormitório à venda, 35 m² por R$ 440.000,00 - Aldeota - Fortaleza/CE",440000.0,12571.43,35,,,,,,,Aldeota,Fortaleza,CE,,,,,False,False,False,False,False,False,False,False,False,False,False,,,False,2026-06-21T03:36:38+00:00,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/apartamento-com-1-dormitorio-a-venda-35-m-por-r-440-000-00-aldeota-fortaleza-ce-1492588283
olx_olx_dom_46070595109849,OLX,venda,apartamento,Helbor Parque Clube 2 quartos,440000.0,7457.63,59,2,,,,,,Aldeota,Fortaleza,CE,,,,,False,False,False,False,False,False,False,False,False,False,False,,,False,2026-06-21T03:39:26+00:00,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/helbor-parque-clube-2-quartos-1510815039
olx_olx_dom_127256268004307,OLX,venda,apartamento,Oportunidade Única em FORTALEZA - CE | Tipo: Apartamento | Negociação: Leilão | Situação:,441000.0,4240.38,104,,,,,,,Aldeota,Fortaleza,CE,,,,,False,False,False,False,False,False,False,False,False,False,False,,,False,2026-06-21T03:35:47+00:00,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/oportunidade-unica-em-fortaleza-ce-tipo-apartamento-negociacao-leilao-situacao-1511968074
